area,scenario_label,weight,peak_year,peak_year_z,year_profile
E01002791,Scenario A,0.602,2014,58.7482206795904,"[2.5, -2.2, 57.2, 34.7, 9.9, 5.9, 2.7, -0.2, -0.2, -0.2]"
E01002791,Scenario B,0.2425,2014,27.15093620432363,"[2.8, 4.1, 28.7, 36.0, 13.7, 16.4, 5.6, 0.8, 1.2, 0.7]"
E01002791,Scenario C,0.1555,2014,1.5721821052981575,"[4.0, 14.2, 3.2, 36.2, 15.7, 21.9, 8.3, 3.0, 2.6, 1.0]"
E01002792,Scenario A,0.5408333333333334,2013,-2.4387416198522267,"[8.9, -1.6, 5.0, 23.5, 3.0, 5.5, 4.6, 3.0, 0.8, -0.7]"
E01002792,Scenario B,0.45916666666666667,2013,11.45281846456208,"[2.3, 12.7, 4.8, 22.7, 2.5, 5.0, 3.2, 0.8, -0.1, -1.9]"
E01002698,Scenario A,0.5376666666666666,2014,17.811425862208196,"[12.3, 11.4, 17.4, 6.8, 4.9, 1.3, 1.2, -2.0, 0.9, -0.1]"
E01002698,Scenario B,0.4623333333333333,2014,6.123596966232414,"[13.5, 12.6, 6.7, 10.4, 6.6, 1.9, 1.7, -1.2, 1.6, 0.3]"
E01002740,Scenario A,0.8946666666666667,2019,45.96615149693506,"[43.3, 42.2, 5.8, 44.6, 42.8, 7.1, 5.1, 46.0, 5.6, 0.7]"
E01002740,Scenario B,0.10533333333333333,2021,60.052369688952105,"[42.7, 41.6, 3.9, 44.4, 43.3, 1.3, 0.8, 1.1, 3.9, 60.1]"
E01002720,Scenario A,0.5511666666666667,2014,8.09054798156211,"[2.9, 1.7, 8.3, 4.9, 0.8, 3.3, -0.1, -0.1, 4.4, -0.1]"
E01002720,Scenario B,0.4488333333333333,2014,1.5352280689703406,"[4.5, 2.1, 1.7, 6.4, 1.6, 3.8, 0.2, 0.1, 5.3, 0.1]"
E01002799,Scenario A,0.5625,2015,11.791460181074243,"[0.4, 1.3, 5.3, 11.3, 5.0, 0.5, 0.4, 1.4, 0.4, 0.0]"
E01002799,Scenario B,0.4375,2015,1.7098649916207425,"[0.8, 1.7, 9.2, 2.4, 7.1, 0.8, 0.8, 1.8, 0.8, 0.4]"
E01002712,Scenario A,0.6193333333333333,2012,15.68858989363114,"[15.7, -1.1, 14.5, 8.9, 16.5, 4.8, 6.6, 0.9, 5.4, 1.9]"
E01002712,Scenario B,0.38066666666666665,2018,21.353237216173433,"[6.5, -1.6, 13.3, 6.7, 15.9, 4.6, 21.4, 0.8, 4.7, 1.7]"
E01002738,Scenario A,0.5446666666666666,2014,29.226366961958856,"[2.2, 23.0, 29.2, 2.1, 9.0, 3.7, 7.6, 2.3, 2.9, 2.9]"
E01002738,Scenario B,0.4553333333333333,2015,27.498366752239033,"[1.5, 16.7, 16.1, 27.5, 7.3, 2.8, 7.6, 1.7, 1.7, 2.2]"
E01002722,Scenario A,0.5813333333333334,2016,42.928911760037074,"[20.3, -0.9, 5.2, 2.6, 42.9, 2.4, 10.3, 1.1, 2.1, 1.9]"
E01002722,Scenario B,0.4186666666666667,2016,16.06915256184553,"[20.6, 15.1, 6.2, 4.4, 16.1, 3.6, 11.4, 3.5, 2.9, 4.2]"
E01033488,Scenario A,0.6166666666666667,2014,43.360588560346194,"[1.1, 8.5, 43.4, 4.7, 2.9, 22.2, 2.7, 38.4, 2.5, 2.7]"
E01033488,Scenario B,0.38333333333333336,2014,49.136958735536865,"[2.2, 10.5, 49.1, 5.3, 3.5, 36.5, 4.1, 10.2, 3.2, 4.3]"
E01002781,Scenario A,0.7218333333333333,2013,29.068563668895237,"[11.1, 28.8, 4.9, 16.6, 1.3, 11.7, 1.7, 1.2, 1.4, 1.4]"
E01002781,Scenario B,0.2781666666666667,2013,1.622784535554917,"[14.2, 4.8, 8.0, 17.5, 4.3, 14.2, 4.1, 4.2, 4.2, 4.6]"
E01002716,Scenario A,0.688,2017,24.502324214503997,"[2.9, 11.4, 2.2, 4.0, 3.6, 23.4, 2.3, 1.0, 2.3, 1.0]"
E01002716,Scenario B,0.312,2017,1.950422221052234,"[4.2, 12.5, 3.6, 5.2, 4.0, 5.2, 3.4, 3.4, 9.3, 3.2]"
E01002715,Scenario A,0.505,2014,13.782258376378152,"[1.9, 0.1, 15.5, 24.3, 0.8, 3.7, 0.9, 0.9, 0.9, 0.0]"
E01002715,Scenario B,0.495,2014,2.5140303866552216,"[3.0, 1.6, 3.2, 26.2, 1.8, 4.3, 1.9, 1.6, 1.6, 3.8]"
E01033491,Scenario A,0.508,2013,26.31828153141449,"[14.0, 26.3, 4.9, 23.5, 30.5, 2.0, 6.9, 11.6, -0.5, 6.7]"
E01033491,Scenario B,0.492,2012,18.488686716450037,"[18.5, 3.9, 8.1, 23.8, 31.3, 4.5, 10.2, 16.9, 1.8, 7.0]"
E01002767,Scenario A,0.5005,2016,2.291520072753478,"[1.7, 1.4, 1.6, 10.8, 2.7, 1.6, 1.1, 1.8, 2.5, 1.7]"
E01002767,Scenario B,0.4995,2016,11.55967786886249,"[1.2, 0.8, 1.2, 4.4, 13.3, 1.1, 0.5, 1.2, 2.1, 1.2]"
E01035647,Scenario A,0.551,2017,36.905134210021764,"[1.7, 7.9, 23.0, 35.6, 25.8, 36.9, 1.8, 1.6, 2.5, 1.7]"
E01035647,Scenario B,0.449,2016,55.14038974880277,"[1.2, 7.8, 24.1, 35.6, 55.1, 6.4, 2.4, 2.3, 2.1, 1.5]"
E01035643,Scenario A,0.6506666666666666,2012,26.88209417048493,"[26.9, 59.4, 23.2, 3.4, 0.9, 3.9, 1.2, 23.8, 93.9, 1.8]"
E01035643,Scenario B,0.34933333333333333,2015,40.26785773788038,"[16.4, 59.0, 14.3, 40.3, 0.2, 2.8, 0.7, 15.9, 87.9, 1.1]"
E01002697,Scenario A,0.519,2018,74.00589153764314,"[4.4, 1.6, 11.0, 12.6, 7.0, 56.1, 74.0, 3.9, 2.4, 3.1]"
E01002697,Scenario B,0.481,2017,48.83785642562205,"[4.2, 21.5, 8.5, 38.9, 4.8, 48.8, 38.6, 4.9, 2.4, 3.3]"
E01002766,Scenario A,0.7761666666666667,2013,81.62755462117057,"[0.3, 81.6, 2.5, 1.1, 1.3, 38.9, 22.7, 0.3, 0.8, 0.4]"
E01002766,Scenario B,0.22383333333333333,2013,39.362289904929504,"[0.4, 39.4, 38.2, 2.6, 1.4, 39.0, 24.3, 1.2, 2.2, 1.3]"
E01002707,Scenario A,0.5486666666666666,2019,0.8256817775600069,"[10.0, 9.3, 31.4, 8.9, 7.0, 24.7, 1.4, 2.0, 5.8, 0.6]"
E01002707,Scenario B,0.4513333333333333,2019,20.02108492690693,"[9.6, 0.7, 30.0, 8.4, 4.0, 22.6, 0.4, 21.1, 4.2, -0.1]"
