area,borough_name,borough,D,tier,tier_subtype,n_low_confidence_years,max_rhat,n_multimodal_years,n_flagged_years,min_flagged_corr,flagged_concentration,has_active_year
E01002791,Islington,E09000019,110.0,tier2,resolved,0,1.0056408260375571,1,1,,,True
E01002790,Islington,E09000019,4.0,tier1,,0,1.0035196989918016,0,0,,,True
E01002719,Islington,E09000019,-14.0,tier1,,0,1.0019617918910175,0,0,,,True
E01002792,Islington,E09000019,52.0,tier2,resolved,0,1.001504649537356,1,1,,,True
E01002795,Islington,E09000019,2.0,tier1,,0,1.0026270560820196,0,0,,,True
E01002699,Islington,E09000019,-19.0,tier1,,0,1.0019542609687022,0,0,,,True
E01002698,Islington,E09000019,54.0,tier2,resolved,0,1.002203087566372,1,1,,,True
E01002740,Islington,E09000019,243.0,tier2,resolved,5,1.0844416979870817,2,2,-0.4596372612935194,1.0,True
E01002793,Islington,E09000019,18.0,tier1,,0,1.001757967483223,0,0,,,True
E01002796,Islington,E09000019,5.0,tier1,,0,1.0021157708767807,0,0,,,True
E01002717,Islington,E09000019,-8.0,tier3,,0,1.0029532514761073,0,0,,,False
E01002720,Islington,E09000019,26.0,tier2,resolved,0,1.0038770701563142,1,1,,,True
E01002700,Islington,E09000019,5.0,tier1,,0,1.0039272633255802,0,0,,,True
E01002775,Islington,E09000019,-5.0,tier1,,0,1.0021026415484162,0,0,,,True
E01002794,Islington,E09000019,279.0,tier2,unresolved,5,1.0328535479985197,5,5,-0.1822618071587045,0.6013333333333333,True
E01002799,Islington,E09000019,26.0,tier2,resolved,0,1.0021180180758864,1,1,,,True
E01002797,Islington,E09000019,51.0,tier1,,0,1.0034711573837207,0,0,,,True
E01002739,Islington,E09000019,48.0,tier1,,0,1.001983584044361,0,0,,,True
E01033486,Islington,E09000019,17.0,tier1,,0,1.0013762897815974,0,0,,,True
E01002712,Islington,E09000019,74.0,tier2,resolved,0,1.0063506047410575,4,4,-0.42189202409343557,0.6938333333333333,True
E01002738,Islington,E09000019,85.0,tier2,resolved,0,1.0078112405316766,3,3,-0.3666334599987509,0.7661666666666667,True
E01002722,Islington,E09000019,88.0,tier2,resolved,2,1.015073082552275,2,2,-0.35006670974787146,1.0,True
E01002714,Islington,E09000019,-9.0,tier1,,0,1.0025931738063787,0,0,,,True
E01002713,Islington,E09000019,268.0,tier2,unresolved,7,1.0695818421662024,6,6,-0.25973885774628697,0.5665,True
E01033488,Islington,E09000019,129.0,tier2,resolved,0,1.0097495856454974,3,3,-0.3594404368341971,0.8011666666666667,True
E01002801,Islington,E09000019,48.0,tier1,,0,1.0040806078354454,0,0,,,True
E01035654,Islington,E09000019,181.5,tier2,unresolved,10,1.08284646703067,9,9,-0.2816258355255801,0.32416666666666666,True
E01002696,Islington,E09000019,17.0,tier1,,0,1.003202287833725,0,0,,,True
E01002781,Islington,E09000019,80.0,tier2,resolved,1,1.010560913115275,1,1,,,True
E01002800,Islington,E09000019,410.0,tier2,unresolved,7,1.050267485661034,5,5,-0.27756924310754993,0.4653333333333334,True
E01002745,Islington,E09000019,10.0,tier1,,0,1.002149750095803,0,0,,,True
E01002716,Islington,E09000019,54.0,tier2,resolved,0,1.003873611450658,1,1,,,True
E01002798,Islington,E09000019,15.0,tier1,,0,1.0027761917560456,0,0,,,True
E01002718,Islington,E09000019,35.0,tier1,,0,1.0030431396038078,0,0,,,True
E01002721,Islington,E09000019,1.0,tier1,,0,1.0008250332542823,0,0,,,True
E01033487,Islington,E09000019,21.0,tier3,,0,1.0021137007908851,0,0,,,False
E01002715,Islington,E09000019,49.0,tier2,resolved,0,1.0021940899579391,1,1,,,True
E01002694,Islington,E09000019,9.0,tier1,,0,1.001753885802273,0,0,,,True
E01002780,Islington,E09000019,5.0,tier1,,0,1.0016537620822012,0,0,,,True
E01002776,Islington,E09000019,170.0,tier2,unresolved,9,1.0875435731116485,8,8,-0.30285949023218667,0.48683333333333334,True
E01002802,Islington,E09000019,206.0,tier2,unresolved,2,1.0408452271745188,3,3,-0.28453736614625463,0.7241666666666666,True
E01002765,Islington,E09000019,176.0,tier2,unresolved,6,1.1349444673824698,7,7,-0.26954752377005897,0.5771666666666666,True
E01033491,Islington,E09000019,126.0,tier2,resolved,0,1.0042706437493991,3,3,-0.36822751878293214,0.7995,True
E01035655,Islington,E09000019,352.0,tier2,unresolved,9,1.1912253421131949,8,8,-0.3515738605125726,0.42816666666666664,True
E01002752,Islington,E09000019,78.0,tier2,unresolved,2,1.0183800567363406,4,4,-0.20884499596426964,0.7221666666666666,True
E01002744,Islington,E09000019,6.0,tier1,,0,1.0032876501726122,0,0,,,True
E01002695,Islington,E09000019,10.0,tier1,,0,1.001890272526781,0,0,,,True
E01035653,Islington,E09000019,484.5,tier2,unresolved,9,1.3670248445375202,7,7,-0.4422664535316647,0.421,True
E01002779,Islington,E09000019,20.0,tier1,,0,1.0019913233794675,0,0,,,True
E01002708,Islington,E09000019,179.0,tier2,unresolved,4,1.0470036046913216,5,5,-0.20990652052973302,0.6898333333333333,True
E01002709,Islington,E09000019,-7.0,tier3,,0,1.0011230663483333,0,0,,,False
E01002710,Islington,E09000019,20.0,tier1,,0,1.0017024811214057,0,0,,,True
E01035644,Hackney,E09000012,174.5,tier2,unresolved,2,1.024281487634848,3,3,-0.2931165178588787,0.7593333333333333,True
E01035646,Hackney,E09000012,208.5,tier2,unresolved,6,1.0331672339324398,2,2,-0.25286511860570743,1.0,True
E01002767,Islington,E09000019,27.0,tier2,resolved,0,1.0026721641788283,1,1,,,True
E01035647,Hackney,E09000012,138.5,tier2,resolved,3,1.0122335546535262,3,3,-0.4413143653673349,0.7371666666666667,True
E01001751,Hackney,E09000012,29.0,tier1,,0,1.0028930013255717,0,0,,,True
E01035643,Hackney,E09000012,238.5,tier2,resolved,3,1.0169467654259825,3,3,-0.30575091031059176,0.7995,True
E01002697,Islington,E09000019,176.0,tier2,resolved,8,1.0585258438716472,4,4,-0.3974379944147196,0.7993333333333333,True
E01002762,Islington,E09000019,38.0,tier1,,0,1.0022762335955775,0,0,,,True
E01002751,Islington,E09000019,39.0,tier1,,0,1.00169789512524,0,0,,,True
E01033493,Islington,E09000019,-6.0,tier3,,0,1.0026454763470758,0,0,,,False
E01001753,Hackney,E09000012,31.0,tier1,,0,1.0021980286352845,0,0,,,True
E01002743,Islington,E09000019,-33.0,tier1,,0,1.0026244359482814,0,0,,,True
E01002766,Islington,E09000019,150.0,tier2,resolved,2,1.0174531506748288,2,2,-0.8277404981728467,1.0,True
E01002777,Islington,E09000019,-22.0,tier1,,0,1.001816326666522,0,0,,,True
E01035656,Islington,E09000019,412.0,tier2,unresolved,5,1.03996958349528,5,5,-0.2830969872929594,0.46399999999999997,True
E01033494,Islington,E09000019,17.0,tier1,,0,1.0021312198171382,0,0,,,True
E01002707,Islington,E09000019,101.0,tier2,resolved,0,1.0073549445583552,1,1,,,True
E01001738,Hackney,E09000012,56.0,tier2,resolved,0,1.0021842779323906,1,1,,,True
E01002727,Islington,E09000019,-28.0,tier1,,0,1.0031010861857677,0,0,,,True
E01002782,Islington,E09000019,12.0,tier3,,0,1.0020155122643015,0,0,,,False
E01002749,Islington,E09000019,92.0,tier2,resolved,1,1.0113921289640522,3,3,-0.31254466729239805,0.8425,True
E01035648,Hackney,E09000012,192.5,tier2,unresolved,10,1.1812145886723748,10,10,-0.24471479720029382,0.4051666666666667,True
E01001783,Hackney,E09000012,-138.0,tier2,unresolved,7,1.041554946261405,9,9,-0.21015177481414338,0.2931666666666667,True
E01001781,Hackney,E09000012,-12.0,tier1,,0,1.0035993021214626,0,0,,,True
E01002728,Islington,E09000019,-6.0,tier1,,0,1.002763609689845,0,0,,,True
E01001756,Hackney,E09000012,60.0,tier2,resolved,0,1.0021310409723494,1,1,,,True
E01002764,Islington,E09000019,17.0,tier1,,0,1.0031138859987656,0,0,,,True
E01001750,Hackney,E09000012,226.0,tier2,resolved,6,1.0769347911683755,7,7,-0.5753041075225552,0.9126666666666666,True
E01035649,Hackney,E09000012,195.5,tier2,resolved,1,1.0426433602771128,1,1,,,True
E01002711,Islington,E09000019,160.0,tier2,resolved,0,1.0086300811900306,1,1,,,True
E01001739,Hackney,E09000012,8.0,tier1,,0,1.003019846633603,0,0,,,True
E01002778,Islington,E09000019,61.0,tier2,unresolved,0,1.00598825659928,2,2,-0.2981554183925484,1.0,True
E01002742,Islington,E09000019,42.0,tier1,,0,1.0030562612313778,0,0,,,True
E01002763,Islington,E09000019,33.0,tier2,resolved,2,1.0170059343746751,2,2,-0.8802099982091306,1.0,True
E01002741,Islington,E09000019,56.0,tier2,resolved,0,1.003378189048582,3,3,-0.7390452026497258,0.8718333333333332,True
E01000868,Camden,E09000007,265.0,tier2,unresolved,8,1.150817378282544,5,5,-0.18047082596926198,0.5968333333333333,True
E01002729,Islington,E09000019,4.0,tier1,,0,1.0018779050716538,0,0,,,True
E01035708,Camden,E09000007,637.0,tier2,resolved,6,2.149954772396968,5,5,-0.8267249465670625,1.0,True
E01002723,Islington,E09000019,-7.0,tier1,,0,1.001529654122398,0,0,,,True
E01001740,Hackney,E09000012,35.0,tier2,resolved,0,1.0044395460199784,1,1,,,True
E01035645,Hackney,E09000012,62.5,tier2,unresolved,0,1.0056223607646326,2,2,-0.2998595776765976,1.0,True
E01002730,Islington,E09000019,147.0,tier1,,0,1.0039433675571885,0,0,,,True
E01035642,Hackney,E09000012,326.5,tier2,unresolved,6,1.1142275798889407,4,4,-0.25197843535277964,0.8855,True
E01002702,Islington,E09000019,479.0,tier2,resolved,7,1.577694314895117,2,2,-0.8852674573904524,1.0,True
E01033709,Hackney,E09000012,315.0,tier2,resolved,1,1.010467661026473,3,3,-0.6154461801111917,0.8558333333333333,True
E01001737,Hackney,E09000012,-3.0,tier1,,0,1.004149651691168,0,0,,,True
E01002732,Islington,E09000019,33.0,tier1,,0,1.001774651638238,0,0,,,True
E01000869,Camden,E09000007,9.0,tier2,resolved,0,1.0034335057704762,2,2,-0.6803995694444668,1.0,True
E01002748,Islington,E09000019,81.0,tier1,,0,1.0042214053256868,0,0,,,True
E01002787,Islington,E09000019,78.0,tier2,resolved,0,1.0040250037850706,1,1,,,True
E01001755,Hackney,E09000012,-1.0,tier1,,0,1.0024282834721236,0,0,,,True
E01000938,Camden,E09000007,30.0,tier2,resolved,0,1.0032841923767524,2,2,-0.46685276762573263,1.0,True
E01035707,Camden,E09000007,86.0,tier2,unresolved,0,1.0063770487474335,2,2,-0.0928970812669521,1.0,True
E01002783,Islington,E09000019,108.0,tier1,,0,1.002944189605748,0,0,,,True
E01035652,Islington,E09000019,104.0,tier2,resolved,0,1.0034081549924485,1,1,,,True
E01002747,Islington,E09000019,14.0,tier1,,0,1.0022749451351334,0,0,,,True
E01002725,Islington,E09000019,13.0,tier3,,0,1.0024667206628797,0,0,,,False
E01002703,Islington,E09000019,501.0,tier2,resolved,7,1.1951132559076678,5,5,-0.49650163769342887,0.7193333333333334,True
E01033700,Hackney,E09000012,556.0,tier2,resolved,8,1.0386446991357503,4,4,-0.33631009428705516,0.6798333333333333,True
E01002786,Islington,E09000019,156.0,tier2,resolved,2,1.0150173620944996,1,1,,,True
E01033711,Hackney,E09000012,634.0,tier2,resolved,9,1.2188187533788697,3,3,-0.4396947147014868,0.9486666666666667,True
E01035650,Hackney,E09000012,-148.0,tier2,unresolved,5,1.0373543316598317,6,6,-0.20863515524441925,0.6908333333333333,True
E01033699,Hackney,E09000012,199.0,tier2,resolved,0,1.0074438815203717,2,2,-0.5832016865178031,1.0,True
E01001784,Hackney,E09000012,23.0,tier1,,0,1.001417590929769,0,0,,,True
E01001736,Hackney,E09000012,0.0,tier1,,0,1.0024391557884642,0,0,,,True
E01001835,Hackney,E09000012,36.0,tier2,unresolved,0,1.0022629527733498,1,1,,,True
E01002726,Islington,E09000019,17.0,tier1,,0,1.0024988802390111,0,0,,,True
E01035651,Islington,E09000019,173.0,tier2,resolved,0,1.0067781417470645,3,3,-0.47916756334835114,0.8111666666666667,True
E01000939,Camden,E09000007,101.0,tier2,unresolved,0,1.0066515566538847,3,3,-0.2993298578888649,0.8089999999999999,True
E01000926,Camden,E09000007,-28.0,tier2,resolved,0,1.0019150782835158,1,1,,,True
E01001720,Hackney,E09000012,99.0,tier1,,0,1.0063072347847548,0,0,,,True
E01002701,Islington,E09000019,44.0,tier2,resolved,0,1.0026299574881932,2,2,-0.6390323822632963,1.0,True
E01001747,Hackney,E09000012,225.0,tier2,resolved,4,1.108161007510505,8,8,-0.5358940730469433,0.9516666666666667,True
E01001719,Hackney,E09000012,260.0,tier2,unresolved,8,1.0494728525609067,7,7,-0.21049584223214685,0.5245,True
E01000957,Camden,E09000007,-52.0,tier2,resolved,1,1.0108828640900898,3,3,-0.30308930000647105,0.9025,True
E01001742,Hackney,E09000012,34.0,tier1,,0,1.001441289282316,0,0,,,True
E01035709,Camden,E09000007,344.0,tier2,unresolved,10,1.4626537549020522,9,9,-0.5492716246217181,0.3065,True
E01001773,Hackney,E09000012,277.0,tier2,resolved,0,1.006639004945744,1,1,,,True
E01000958,Camden,E09000007,216.0,tier2,unresolved,0,1.008615294881901,4,4,-0.27334147480856574,0.5283333333333333,True
E01001718,Hackney,E09000012,131.0,tier2,unresolved,0,1.0099724998080255,2,2,-0.20733354686872177,1.0,True
E01035712,Camden,E09000007,-110.0,tier2,unresolved,0,1.007302407674585,5,5,-0.21972253156948224,0.436,True
