geography,year,n_areas,z_total_mean,z_total_lo90,z_total_hi90
London,2012,4987,32110.683927814905,30660.480170595267,33591.54304706271
London,2013,4987,34132.011624675484,32862.948210665,35410.73686705313
London,2014,4987,34919.79319767495,33737.776549079375,36219.01433936395
London,2015,4987,37963.92075150141,36717.33138546426,39210.56153475094
London,2016,4987,44434.71859807988,42940.57048249067,45894.84601694059
London,2017,4987,39603.02888211116,38441.56713364431,40781.45531693492
London,2018,4987,36391.64624247423,35101.33163290073,37675.47275095318
London,2019,4987,34688.121045696236,33348.5757364764,36097.4428541027
London,2020,4987,32230.713397310898,30980.599180091805,33419.74357827975
London,2021,4987,27488.44566599418,26080.313867335226,28825.882313138707
London,total,4987,353963.08333333355,353963.08333333355,353963.08333333355
Barking and Dagenham,2012,114,547.880408114025,333.10413401818386,756.2694144767323
Barking and Dagenham,2013,114,839.4395075507533,617.0776872368589,1028.538265981481
Barking and Dagenham,2014,114,717.7048562094824,549.1498960434275,883.1613971463728
Barking and Dagenham,2015,114,750.9261514804466,542.3610960377971,935.7658031484453
Barking and Dagenham,2016,114,685.8338453816772,501.802273519028,872.6838261218028
Barking and Dagenham,2017,114,562.4670308448233,286.1360049240276,856.8711603137922
Barking and Dagenham,2018,114,122.74717588562741,-30.539642029124796,307.6812889778935
Barking and Dagenham,2019,114,519.3974020903872,318.23646891028744,721.5719907941689
Barking and Dagenham,2020,114,510.38006717269263,310.1726077103513,697.7219280494975
Barking and Dagenham,2021,114,225.22355527008483,-5.376221237290452,495.00917579966597
Barking and Dagenham,total,114,5482.0,5482.0,5482.0
Barnet,2012,219,1769.9704428021573,1499.2827147411963,2044.700445453658
Barnet,2013,219,1582.6403782041261,1384.797629296051,1790.4952065776008
Barnet,2014,219,1511.6489251942276,1305.5674738309608,1737.4888028035937
Barnet,2015,219,1652.6484331946447,1424.8079758408016,1911.1430326717943
Barnet,2016,219,2109.8525380277915,1861.5731084844258,2353.939597014865
Barnet,2017,219,1891.3169409912962,1663.7115073839302,2133.0345777922444
Barnet,2018,219,1642.6285572543113,1411.92787246261,1877.2609570665315
Barnet,2019,219,1722.6781523280579,1505.632535288651,1949.0444820032903
Barnet,2020,219,1221.522318727577,1009.6587918798843,1420.6846125666339
Barnet,2021,219,1161.8433132758107,977.8693604769693,1364.9501746648061
Barnet,total,219,16266.75,16266.75,16266.75
Bexley,2012,148,373.4388101546741,244.29740982603025,500.3003373927072
Bexley,2013,148,586.0806803451321,467.1191543760806,718.0978890831782
Bexley,2014,148,433.24642463517296,296.3846506340005,580.6280056127486
Bexley,2015,148,515.1685928273821,374.66468931661683,649.3169700949127
Bexley,2016,148,476.3395708529754,309.6498473622578,622.6760200292105
Bexley,2017,148,278.20141224344366,137.04720786855836,424.556661611732
Bexley,2018,148,522.1367122280284,397.2012602384243,657.5811374211039
Bexley,2019,148,513.9992058701691,383.2117328045418,641.1510039492449
Bexley,2020,148,276.218646314311,143.4814635817602,407.6519817873292
Bexley,2021,148,295.1699445287112,179.46541932146644,423.70416722890735
Bexley,total,148,4270.0,4270.0,4270.0
Brent,2012,180,1304.5002031114313,1034.8662521494318,1593.1091493124354
Brent,2013,180,1320.17641063303,1050.694514821657,1609.0209665936552
Brent,2014,180,1941.7251367079236,1665.389251216063,2239.389677295364
Brent,2015,180,1394.8660684527172,1153.6678332090116,1653.8094154047726
Brent,2016,180,1569.2202248266494,1329.1339314723766,1829.1184542339843
Brent,2017,180,1225.8435583595638,943.7150289103524,1503.939173126761
Brent,2018,180,1384.0298499337398,1144.3543706564599,1629.2268454697062
Brent,2019,180,1278.2805163535077,992.3646198290191,1549.5456754748875
Brent,2020,180,1503.8113591959147,1202.563149497652,1842.4339533818295
Brent,2021,180,1184.8800057588558,950.3715284965245,1439.3427611468283
Brent,total,180,14107.333333333334,14107.333333333332,14107.333333333332
Bromley,2012,199,775.8297468827706,649.6651420452552,904.5692355646527
Bromley,2013,199,686.4099680812602,552.5584379040394,825.1272750894012
Bromley,2014,199,642.2091870304761,525.2952433439337,772.8431948418502
Bromley,2015,199,821.2100231685107,673.6225751417635,1002.97462712555
Bromley,2016,199,942.317176866064,766.9916412613878,1114.0850300921325
Bromley,2017,199,791.0080246451892,677.4779557237991,917.9079276662908
Bromley,2018,199,686.7325737291209,572.496222915109,819.7780550356127
Bromley,2019,199,510.5806819251909,394.5168879370965,649.6146229406303
Bromley,2020,199,701.7468065045034,556.4952965726776,848.1490829358627
Bromley,2021,199,488.9558111669142,380.3251692598352,618.3019537504717
Bromley,total,199,7047.0,7047.0,7047.0
Camden,2012,130,648.3343905663513,465.9615287386134,837.6388007225028
Camden,2013,130,884.1927983797674,634.014787011214,1095.4229105554616
Camden,2014,130,1051.3623464171694,869.5797790773237,1231.0364509676447
Camden,2015,130,851.8104026832434,650.5055478957728,1067.9662188206717
Camden,2016,130,1063.3215984836806,830.5181406557552,1342.3884085251977
Camden,2017,130,945.7123596047056,749.7608004415897,1160.2456124806315
Camden,2018,130,935.7249134836914,718.5851107319567,1177.245557377455
Camden,2019,130,783.5667163911028,613.8788308005152,971.9327691797532
Camden,2020,130,678.8892637860379,494.54802982702927,865.5811299672658
Camden,2021,130,561.0852102042502,404.04498253087144,739.3453083061963
Camden,total,130,8404.0,8404.0,8404.0
City of London,2012,6,89.57083979628689,31.60823144984258,191.57729295165186
City of London,2013,6,108.87885964001345,51.254376501255635,216.49756292345427
City of London,2014,6,342.20724451184583,265.0707823005351,455.23748034652954
City of London,2015,6,219.74342214968473,184.25054412788745,318.1507988045908
City of London,2016,6,237.43873232266083,144.05156262490627,362.04592036812164
City of London,2017,6,118.8114760464639,85.36402105906949,153.5475735010242
